genre,theme
21st Century Classical,calme
432hz,énergique
48g,énergique
5th Wave Emo,triste
8-bit,énergique
8d,énergique
A Cappella,énergique
A3,énergique
Aarhus Indie,mélancolique
Aberdeen Indie,mélancolique
Abstract,énergique
Abstract Beats,énergique
Abstract Hip Hop,confiant
Abstract Idm,énergique
Abstractro,énergique
Accordeon,énergique
Accordion,énergique
Accordion Band,énergique
Acid House,énergique
Acid Idm,énergique
Acid Jazz,relax
Acid Rock,mélancolique
Acid Techno,énergique
Acid Trance,énergique
Acidcore,colère
Acousmatic,énergique
Acoustic Blues,calme
Acoustic Chill,calme
Acoustic Cover,calme
Acoustic Guitar Cover,calme
Acoustic Opm,calme
Acoustic Pop,calme
Acoustic Punk,calme
Acoustic Rock,calme
Action Rock,mélancolique
Actors,énergique
Adelaide Indie,mélancolique
Adelaide Punk,colère
Adoracao,énergique
Adoracion,énergique
Adoracion Pentecostal,énergique
Adult Standards,énergique
Adventista,énergique
Aesthetic Rap,confiant
Afghan Pop,joyeux
Afghan Rap,confiant
Afghan Traditional,énergique
African Electronic,énergique
African Experimental,énergique
African Gospel,inspirant
African Metal,colère
African Percussion,énergique
African Reggae,relax
African Rock,mélancolique
African-american Classical,calme
Afrikaans,énergique
Afrikaans Folk,mélancolique
Afrikaans Gospel,inspirant
Afrikaans Hip Hop,confiant
Afro Dancehall,festif
Afro Drill,confiant
Afro House,énergique
Afro Psych,énergique
Afro R&b,énergique
Afro Soul,sensuel
Afro-cuban Percussion,énergique
Afro-cuban Traditional,énergique
Afro-funk,festif
Afrobeat,festif
Afrobeat Brasileiro,festif
Afrobeat Fusion,festif
Afrobeats,festif
Afrofuturism,énergique
Afrofuturismo Brasileiro,énergique
Afropop,joyeux
Afroswing,relax
Aggro Chileno,colère
Aggrotech,énergique
Aghani Lil-atfal,énergique
Ai,énergique
Aikatsu,énergique
Ainu Folk,mélancolique
Alabama Indie,mélancolique
Alabama Metal,colère
Alabama Rap,confiant
Alandsk Musik,énergique
Alaska Hip Hop,confiant
Alaska Indie,mélancolique
Albanian Alternative,énergique
Albanian Folk,mélancolique
Albanian Hip Hop,confiant
Albanian Iso Polyphony,énergique
Albanian Pop,joyeux
Albanian Rock,mélancolique
Albany Ny Indie,mélancolique
Alberta Country,mélancolique
Alberta Hip Hop,confiant
Album Rock,mélancolique
Albuquerque Indie,mélancolique
Algerian Folk,mélancolique
Alpenpanorama,énergique
Alphorn,énergique
Alpine Yodeling,énergique
Alt Z,énergique
Alt-idol,énergique
Alte,énergique
Alternative Americana,mélancolique
Alternative Ccm,énergique
Alternative Country,mélancolique
Alternative Dance,festif
Alternative Emo,triste
Alternative Hardcore,colère
Alternative Hip Hop,confiant
Alternative Metal,colère
Alternative Metalcore,colère
Alternative Pop,joyeux
Alternative Pop Rock,mélancolique
Alternative R&b,énergique
Alternative Rock,mélancolique
Alternative Roots Rock,mélancolique
Amapiano,festif
Ambeat,énergique
Ambient,calme
Ambient Black Metal,calme
Ambient Dub Techno,énergique
Ambient Folk,calme
Ambient Fusion,calme
Ambient Guitar,calme
Ambient House,calme
Ambient Idm,calme
Ambient Industrial,calme
Ambient Pop,calme
Ambient Post-rock,calme
Ambient Psychill,calme
Ambient Techno,énergique
Ambient Trance,énergique
Ambient Worship,calme
American 21st Century Classical,calme
American Choir,énergique
American Classical Piano,calme
American Contemporary Classical,calme
American Early Music,énergique
American Folk Revival,mélancolique
American Grindcore,colère
American Melodeath,colère
American Metalcore,colère
American Modern Classical,calme
American Oi,énergique
American Orchestra,énergique
American Post-rock,mélancolique
American Primitive,énergique
American Romanticism,énergique
American Shoegaze,mélancolique
Amharic Pop,joyeux
Anadolu Rock,mélancolique
Anarcho-punk,colère
Ancient Mediterranean,énergique
Andalusian Classical,calme
Andean Flute,énergique
Anglican Liturgy,énergique
Animal Singing,énergique
Anime,énergique
Anime Cv,énergique
Anime Drill,confiant
